"set","prof","mean"
132,"oc.shp.semiaridM",316.58653090999
133,"oc.shp.semiaridM",329.096842154387
134,"oc.shp.semiaridM",413.288756652781
135,"oc.shp.semiaridM",315.61788711646
136,"oc.shp.semiaridM",399.137363971762
137,"oc.shp.semiaridM",325.303451228
138,"oc.shp.semiaridM",403.435179063622
139,"oc.shp.semiaridM",371.269439163349
140,"oc.shp.semiaridM",420.048253305115
141,"oc.shp.semiaridM",473.381149368045
142,"oc.shp.semiaridM",445.457285304826
143,"oc.shp.semiaridM",413.10146382428
144,"oc.shp.semiaridM",274.217198252915
145,"oc.shp.semiaridM",494.425901733757
146,"oc.shp.semiaridM",360.924552083962
147,"oc.shp.semiaridM",337.634396803974
148,"oc.shp.semiaridM",371.440854314977
149,"oc.shp.semiaridM",383.75545399155
150,"oc.shp.semiaridM",397.34991939505
151,"oc.shp.semiaridM",427.896505137746
152,"oc.shp.semiaridM",593.954142785791
153,"oc.shp.semiaridM",371.683447730664
154,"oc.shp.subhumidM",374.777967394093
155,"oc.shp.subhumidM",370.39769051206
156,"oc.shp.subhumidM",393.168768467101
157,"oc.shp.subhumidM",513.002365543577
158,"oc.shp.subhumidM",406.778139233328
159,"oc.shp.subhumidM",273.610491026671
160,"oc.shp.subhumidM",500.261262256436
161,"oc.shp.subhumidM",338.271732287823
162,"oc.shp.subhumidM",420.410010280672
163,"oc.shp.subhumidM",377.643804012213
164,"oc.shp.subhumidM",550.267581268302
165,"oc.shp.subhumidM",482.111874140844
166,"oc.shp.subhumidM",579.567508045742
167,"oc.shp.subhumidM",312.617173528168
168,"oc.shp.subhumidM",452.001210462351
169,"oc.shp.subhumidM",560.75770128892
170,"oc.shp.humidM",509.065304383965
171,"oc.shp.humidM",600.027278469311
172,"oc.shp.humidM",422.182849394383
173,"oc.shp.humidM",466.946803561232
174,"oc.shp.humidM",652.251628114163
175,"oc.shp.humidM",638.64575743413
176,"oc.shp.humidM",519.77915764891
177,"oc.shp.humidM",592.757035552551
