"par","median"
"pF",0.726001596826072
"pfAdu",0.513093963150566
"pfKid",0.115753079518843
"pfSub",0.0963631851334102
"pmAdu",0.0802764369140955
"pmKid",0.115753079518843
"pmSub",0.0754194122943326
