profile,parameter,cgiar.shp.min,cgiar.shp.max,reported
oc.shp.subhumidM,NET_offtake_y,0,0,missing
oc.shp.subhumidM,NET_offtake_m,0.078,0.38,missing
oc.shp.subhumidM,NET_offtake_f,0.078,0.38,missing
oc.shp.subhumidM,mortality_y,0.25,0.26,reported
oc.shp.subhumidM,mortality_a,0.096,0.11,reported
oc.shp.subhumidM,mortality_end,1,1,NA
oc.shp.subhumidM,birth_rate,1.288,1.3108,reported
oc.shp.subhumidM,ppr_mortality_y,0,0,NA
oc.shp.subhumidM,ppr_mortality_a,0,0,NA
oc.shp.subhumidM,adu_f_max_yrs,7,7,default
oc.shp.subhumidM,adu_m_max_yrs,5,5,default
oc.shp.subhumidM,min_age_offtake,10,10,missing
oc.shp.subhumidM,min_age_repro,15,16.2,reported
oc.shp.subhumidM,NET_offtake_m2,0.078,0.38,missing
oc.shp.humidM,NET_offtake_y,0,,missing
oc.shp.humidM,NET_offtake_m,0.052,0.25,missing
oc.shp.humidM,NET_offtake_f,0.052,0.25,missing
oc.shp.humidM,mortality_y,0.17,0.25,reported
oc.shp.humidM,mortality_a,0.15,0.16,reported
oc.shp.humidM,mortality_end,1,1,NA
oc.shp.humidM,birth_rate,1.2075,1.2753,reported
oc.shp.humidM,ppr_mortality_y,0,0,NA
oc.shp.humidM,ppr_mortality_a,0,0,NA
oc.shp.humidM,adu_f_max_yrs,7,7,default
oc.shp.humidM,adu_m_max_yrs,5,5,default
oc.shp.humidM,min_age_offtake,10,10,missing
oc.shp.humidM,min_age_repro,17,18,reported
oc.shp.humidM,NET_offtake_m2,0.052,0.25,missing
