"w","sum_pop","prop_immune","prop_inf","pF","pfKid","pfSub","pfAdu","pmKid","pmSub","pmAdu","pop_growth","tenyr_growth","set"
1300,7999.02110658918,0,0,0.590790935476796,0.135464176880193,0.114713067558293,0.34061369103831,0.135464176880193,0.114661562583999,0.159083325059012,160.250786959652,0.130626843410393,1
1300,1789.46452337516,0,0,0.59568897008116,0.13674635348519,0.115443560660984,0.343499055934986,0.13674635348519,0.115443560660984,0.152121115772666,35.8533309943497,0.238146187734256,2
1300,25.3083822921173,0,0,0.56296208081632,0.11978621644464,0.102097059087977,0.341078805283703,0.11978621644464,0.101677661443053,0.215574041295987,0.507129842845322,1.32660359952049,3
1300,5158.3282887707,0,0,0.520674403976615,0.112118772106986,0.0905121600173693,0.31804347185226,0.112118772106986,0.0904442326448359,0.276762591271563,103.326986763323,0.163278708034537,4
1300,41186.1419998334,0,0,0.484901444543219,0.13045949397392,0.107262376281995,0.247179574287304,0.13045949397392,0.107295426517384,0.277343634965477,825.007069042355,0.0743062528922766,5
1300,24462311.9048272,0,0,0.527985043192639,0.150161054346668,0.103231716079372,0.274592272766599,0.150161054346668,0.102690886702624,0.219163015758069,490003.539642967,0.0055291450075278,6
1300,1582.50724670952,0,0,0.580201601019151,0.142237320100345,0.11220524705922,0.325759033859586,0.142237320100345,0.11220524705922,0.165355831821284,31.6932964080407,0.253567904565612,7
1300,132052.539809218,0,0,0.62424981613736,0.136992691960339,0.0995032599553411,0.38775386422168,0.136992691960339,0.0993459538231856,0.139411538079115,2644.90915440684,0.0413666597319618,8
1300,46.9700077289571,0,0,0.613406325271213,0.106414598534781,0.0898647158657074,0.417127010870725,0.106414598534781,0.0898647158657074,0.190314360328299,0.940459405948775,1.00099947789929,9
1300,2436.04516769834,0,0,0.458609323187873,0.108385941115241,0.0856751047926381,0.264548277279994,0.108385941115241,0.0861716903923638,0.346833045304522,48.8205740903515,0.233754187766647,10
1300,40753061.9976625,0,0,0.558357154999333,0.162938191386871,0.11975919300846,0.275659770604002,0.162938191386871,0.11975919300846,0.158945460605336,815800.039039028,0.00446860611879204,11
