"";"w";"sum_pop";"prop_immune";"pR_noIm";"prop_inf";"pF";"pfKid";"pfSub";"pfAdu";"pmKid";"pmSub";"pmAdu";"pop_growth";"tenyr_growth"
"35";1300;4278,52463545649;0;0;0;0,646358982181941;0,646358982181941;0,646358982181941;0,646358982181941;0,353641017818059;0,353641017818059;0,353641017818059;85,6787923160536;6,25231322016942
"36";1300;121171,682840546;0;0;0;0,545344215629314;0,545344215629314;0,545344215629314;0,545344215629314;0,454655784370686;0,454655784370686;0,454655784370686;2425,45017348736;21,4051865825499
"37";1300;2332,44391659631;0;0;0;0,463034511130302;0,463034511130302;0,463034511130302;0,463034511130302;0,536965488869698;0,536965488869698;0,536965488869698;46,6715137308779;4,28313963623737
"38";1300;45,9675587064942;0;0;0;0,584234794111683;0,584234794111683;0,584234794111683;0,584234794111683;0,415765205888317;0,415765205888317;0,415765205888317;0,919972816575999;0,96949072662364
"39";1300;0;0;0;0;0;0;0;0;0;0;0;0;0
"40";1300;8323865,45875562;0;0;0;0,544688319646037;0,544688319646037;0,544688319646037;0,544688319646037;0,455311680353963;0,455311680353963;0,455311680353963;166654,495619284;116,279524551993
"41";1300;571,675725306388;0;0;0;0,590654065575458;0,590654065575458;0,590654065575458;0,590654065575458;0,409345934424542;0,409345934424542;0,409345934424542;11,4388463319153;2,68999370841806
"42";1300;294,132025651363;0;0;0;0,615025169105338;0,615025169105338;0,615025169105338;0,615025169105338;0,384974830894662;0,384974830894662;0,384974830894662;5,88744435858759;2,08544810766442
"43";1300;445137,986858335;0;0;0;0,582921225882226;0,582921225882226;0,582921225882226;0,582921225882226;0,417078774117774;0,417078774117774;0,417078774117774;8916,89639240614;37,8750656360418
"44";1300;179,58658120656;0;0;0;0,587132100003552;0,587132100003552;0,587132100003552;0,587132100003552;0,412867899996448;0,412867899996448;0,412867899996448;3,60003532795341;1,67893612885528
"45";1300;1,31464925166162;0;0;0;0,557876100877877;0,557876100877877;0,557876100877877;0,557876100877877;0,442123899122123;0,442123899122123;0,442123899122123;0,0263464247691359;0,229992622729992
"46";1300;91420,6554711449;0;0;0;0,622309852082627;0,622309852082627;0,622309852082627;0,622309852082627;0,377690147917373;0,377690147917373;0,377690147917373;1830,30284353337;20,7325563744977
"47";1300;11616,9009415479;0;0;0;0,505094580195731;0,505094580195731;0,505094580195731;0,505094580195731;0,494905419804269;0,494905419804269;0,494905419804269;232,586617771797;8,41551402609208
"48";1300;928,753658351445;0;0;0;0,633634483017811;0,633634483017812;0,633634483017812;0,633634483017812;0,366365516982188;0,366365516982188;0,366365516982188;18,5967353874685;3,35241466673544
"49";1300;2695,82619020197;0;0;0;0,489385893393543;0,489385893393543;0,489385893393543;0,489385893393543;0,510614106606457;0,510614106606457;0,510614106606457;53,9892323363027;4,622236249549
"50";1300;196,376899377694;0;0;0;0,45339703821449;0,45339703821449;0,45339703821449;0,45339703821449;0,54660296178551;0,54660296178551;0,54660296178551;3,9346624108243;1,57513666702331
"51";1300;1057,4637366348;0;0;0;0,482359722984468;0,482359722984468;0,482359722984468;0,482359722984468;0,517640277015532;0,517640277015532;0,517640277015532;21,196712236798;3,15994383090991
"52";1300;106167,779651661;0;0;0;0,549243682388874;0,549243682388874;0,549243682388874;0,549243682388874;0,450756317611126;0,450756317611126;0,450756317611126;2126,2972105304;20,5414125950079
"53";1300;12878,9700139766;0;0;0;0,631080061379163;0,631080061379163;0,631080061379163;0,631080061379163;0,368919938620837;0,368919938620837;0,368919938620837;257,979343761603;9,52724967194041
"54";1300;227428,64357968;0;0;0;0,632931238101742;0,632931238101742;0,632931238101742;0,632931238101742;0,367068761898258;0,367068761898258;0,367068761898258;4551,12778540949;30,0028353633527
"55";1300;607,244194373596;0;0;0;0,585510868723577;0,585510868723577;0,585510868723577;0,585510868723577;0,414489131276423;0,414489131276423;0,414489131276423;12,1526681097042;2,71109112648494
