w,sum_pop,prop_immune,pR_noIm,prop_inf,pF,pfKid,pfSub,pfAdu,pmKid,pmSub,pmAdu,pop_growth,tenyr_growth
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,6751.717994329414,0,0,0,0.561264558009683,0.12777782401237775,0.07334424768917779,0.36014248630812745,0.12777782401237775,0.07312044323125946,0.2378371747466798,135.2074942227928,6.924634774502767
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,6.950219617868468,0,0,0,0.711890065930841,0.11356780595254512,0.06285675073683349,0.5354655092414625,0.11356780595254512,0.06285675073683349,0.11168537737978035,0.13921555580598063,0.4725336438242526
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,44301.30256153934,0,0,0,0.5785247040835693,0.14166833032011394,0.10996908014360267,0.32688729361985264,0.14166833032011394,0.10996908014360267,0.16983788545271414,886.6051007168893,14.950145495936196
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,3.9391937486158843,0,0,0,0.5139294278642346,0.09654196082062212,0.06603981592974925,0.35134765111386335,0.09654196082062212,0.06603114870828193,0.32349746260686135,0.07879873662819754,0.3441530851896913
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,450.439342862534,0,0,0,0.592911292101876,0.14523795270560586,0.1264564775223596,0.32121686187391063,0.14523795270560586,0.12513487040566598,0.13671588478685218,9.017774980472016,2.3624754129129877
1300,487.6748493720821,0,0,0,0.556987688478171,0.1118654105206717,0.08683741425972018,0.35828486369777907,0.1118654105206717,0.08683741425972018,0.2443094867414372,9.760432198083551,2.453203995862986
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,6.561835482441952,0,0,0,0.5062230079233567,0.08509256603258426,0.07575482045373531,0.3453756214370372,0.08509256603258426,0.07574308304510262,0.33294134299895645,0.13147246543484278,0.42318276828764934
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,55.20271220824977,0,0,0,0.4013092020964164,0.07671630249040932,0.07302936501677262,0.25156353458923447,0.07671630249040932,0.07311764319205859,0.44885685222111565,1.104291393773411,0.9020043119823117
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,2.1819355129859317,0,0,0,0.4989905783296632,0.12406582126464774,0.10594089558691139,0.2689838614781041,0.12406582126464774,0.10594089558691139,0.2710027048187777,0.0436669435697964,0.26267511508123503
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,38179.36567664678,0,0,0,0.6228445511374705,0.14368262247636773,0.10477678301299947,0.37438514564810327,0.14368262247636773,0.10477678301299947,0.1286960433731623,764.330424669512,14.637296489975096
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,33061.45453744814,0,0,0,0.5419510469041205,0.13637404197829012,0.1010410547671246,0.3045359501587059,0.13637404197829012,0.1010410547671246,0.22063385635046473,661.9673910092421,12.966336709642544
1300,6.061601269107538,0,0,0,0.6018002190671317,0.13446443078373968,0.08379732434376487,0.383538463939627,0.13446443078373968,0.0836297567422416,0.18010559340688706,0.12133647094708985,0.4337102011504501
1300,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,11.851094700986593,0,0,0,0.6411274022085253,0.1464170516116379,0.08547101654211206,0.4092393340547753,0.1464170516116379,0.08395152098355944,0.12850402519627743,0.23731633835381752,0.5758488119588437
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,79647.77237161966,0,0,0,0.5402125266282223,0.1374404024465117,0.09291518110412905,0.30985694307758155,0.1374404024465117,0.09291518110412905,0.22943188982113696,1594.3167225371526,18.470082079880214
1300,1.7092400449725056,0,0,0,0.5578954958985644,0.11306337524317099,0.10617818884857418,0.33865393180681924,0.11306337524317099,0.10617818884857418,0.22286294000969045,0.03420692816295998,0.2538349226748692
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,111796.24959469616,0,0,0,0.5481234561368815,0.11904344495731642,0.09141197540995383,0.3376680357696113,0.11904344495731642,0.09139959879651417,0.24143350010928782,2237.9979633473977,21.500682117352312
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,1.0918232614440915,0,0,0,0.527837140366612,0.08608952287454191,0.06759360244917714,0.37415401504289286,0.08608952287454191,0.0675600207397834,0.3185133160190628,0.02184486136035971,0.20863036433856716
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,25.532447334358253,0,0,0,0.6741397066057256,0.13182680390086304,0.09278748763693859,0.449525415067924,0.13182680390086304,0.09047981190679454,0.10355367758661677,0.5113609643278217,0.8091538983574211
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,624.5001755688716,0,0,0,0.5467142052073344,0.13671382374173233,0.10033124752632523,0.30966913393927675,0.13671382374173233,0.10023309424608537,0.2163388768048481,12.499542821355092,2.6489548165751207
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,26.062364174162532,0,0,0,0.6042357920045244,0.12040255360750392,0.07177162107468452,0.41206161732233587,0.12040255360750392,0.07177162107468452,0.2035900333132873,0.5217765264988112,0.7740306764175402
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,30.30113277122185,0,0,0,0.7206343614388405,0.09550264376069131,0.058477417960184325,0.5666542997179649,0.09550264376069131,0.058477417960184325,0.12538557684028387,0.6065516126885018,0.8544682723385639
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,5.579346211580388,0,0,0,0.6204437039805716,0.15746159533562692,0.1087430914995476,0.35423901714539713,0.15746159533562692,0.10828768709730821,0.11380701358649328,0.11167410804801019,0.42327343910614823
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
1300,131994.44092070556,0,0,0,0.5250721623869651,0.13538894876738852,0.09928584088128994,0.29039737273828653,0.13538894876738852,0.09926185328334931,0.24027703556229707,2641.6628967822658,22.301822261501293
1300,0,0,0,0,0,0,0,0,0,0,0,0,NA
