"w","sum_pop","prop_immune","prop_inf","pF","pfKid","pfSub","pfAdu","pmKid","pmSub","pmAdu","pop_growth","set"
1300,81.2767077781193,0,0,0.563860422977389,0.109246611027508,0.0976749329973035,0.356938878952578,0.109246611027508,0.0976749329973035,0.229218032997799,1.62553415556239,1
1300,6.80270866383912,0,0,0.576757780062645,0.105823542169878,0.0964340971249164,0.37450014076785,0.105823542169878,0.0964340971249164,0.22098458064256,0.136054173276782,2
1300,0,0,0,0,0,0,0,0,0,0,0,3
1300,67.7193022222236,0,0,0.557490345761104,0.100147053498554,0.0866409485355727,0.370702343726976,0.100147053498554,0.0866409485355727,0.255721652204769,1.35438604444447,4
1300,8.75953977837032,0,0,0.523173517402713,0.100456421619568,0.0936473012719077,0.329069794511238,0.100456421619568,0.0936473012719077,0.282722759705812,0.175190795567406,5
1300,47850.5268416182,0,0,0.574610047075534,0.115797069592076,0.0889537476683901,0.369859229815069,0.115797069592076,0.0889537476683901,0.220639135664,957.010536832364,6
1300,7.63791582450046,0,0,0.560144367894978,0.110569537481605,0.0959983098815451,0.353576520531829,0.110569537481605,0.0959983098815451,0.233287784741872,0.152758316490009,7
1300,11407.6659902795,0,0,0.614266525285145,0.114280216002656,0.0871916864624296,0.41279462282006,0.114280216002656,0.0871916864624296,0.18426157224977,228.15331980559,8
1300,0,0,0,0,0,0,0,0,0,0,0,9
1300,7.70672305000815,0,0,0.519490041320523,0.0966625545593089,0.0860559609401555,0.336771525821059,0.0966625545593089,0.0860559609401555,0.297791443180012,0.154134461000163,10
1300,5961.44031641554,0,0,0.575945101545675,0.114089482645516,0.0961061108276537,0.365749508072506,0.114089482645516,0.0961061108276537,0.213859304981156,119.228806328311,11
1300,47.7960524355259,0,0,0.612303069106994,0.0959834374563643,0.0802674368198144,0.436052194830815,0.0959834374563643,0.0802674368198144,0.211446056616828,0.955921048710517,12
1300,284.146224190965,0,0,0.571846775302031,0.121340772543665,0.0957986062214522,0.354707396536915,0.121340772543665,0.0957986062214522,0.211013845932852,5.6829244838193,13
1300,4.10503442964638,0,0,0.561419388854234,0.100569762573459,0.0928887040419178,0.367960922238856,0.100569762573459,0.0928887040419178,0.245122144530389,0.0821006885929276,14
1300,2465.13818854177,0,0,0.576243245823799,0.106850390095197,0.0864971185440387,0.382895737184564,0.106850390095197,0.0864971185440387,0.230409245536965,49.3027637708354,15
1300,259.048619702812,0,0,0.580550578672005,0.0917411508784406,0.0819638774624507,0.406845550331113,0.0917411508784406,0.0819638774624507,0.245744392987104,5.18097239405624,16
1300,818.72855704853,0,0,0.58250628786268,0.105352227177229,0.0906771257437202,0.38647693494173,0.105352227177229,0.0906771257437202,0.221464359216371,16.3745711409706,17
1300,38.5963058884951,0,0,0.613601175897019,0.104922430683436,0.0887671141258039,0.419911631087779,0.104922430683436,0.0887671141258039,0.19270927929374,0.771926117769902,18
1300,5166.32780410254,0,0,0.568578057356128,0.121110303713225,0.101789386742818,0.345678366900084,0.121110303713225,0.101789386742818,0.208522252187828,103.326556082051,19
1300,7423.1089846306,0,0,0.570178352114604,0.110703501035332,0.0912971416029658,0.368177709476306,0.110703501035332,0.0912971416029658,0.227821005247098,148.462179692612,20
1300,37.0891741096121,0,0,0.52821185231015,0.104118996295647,0.0922394044758988,0.331853451538603,0.104118996295647,0.0922394044758988,0.275429746918304,0.741783482192242,21
1300,979.132283662893,0,0,0.579567774577473,0.10780408378852,0.0876967630224119,0.384066927766541,0.10780408378852,0.0876967630224119,0.224931378611595,19.5826456732579,22
1300,324.08206197635,0,0,0.579029448330375,0.108175073346999,0.0894404080603487,0.381413966923026,0.108175073346999,0.0894404080603487,0.223355070262277,6.481641239527,23
1300,2632.72630862206,0,0,0.578431889322753,0.104185072262255,0.0876006546589034,0.386646162401594,0.104185072262255,0.0876006546589034,0.229782383756088,52.6545261724412,24
1300,3.20863228554224,0,0,0.540882721500752,0.108729661959346,0.100202556579237,0.33195050296217,0.108729661959346,0.100202556579237,0.250185059960665,0.0641726457108449,25
1300,318.975585792908,0,0,0.526736390728826,0.0989652519837401,0.0893751655617075,0.338395973183378,0.0989652519837401,0.0893751655617075,0.284923191725727,6.37951171585816,26
1300,655.159124874911,0,0,0.61419458472811,0.110939305312815,0.092044060149709,0.411211219265586,0.110939305312815,0.092044060149709,0.182822049809365,13.1031824974982,27
1300,420.649544110133,0,0,0.595009706507757,0.100964934711339,0.086746143195577,0.407298628600841,0.100964934711339,0.086746143195577,0.217279215585326,8.41299088220267,28
1300,0,0,0,0,0,0,0,0,0,0,0,29
1300,1.03087630465987,0,0,0.544186264849169,0.091664648576167,0.0884007526722663,0.364120863600736,0.091664648576167,0.0884007526722663,0.275748333902397,0.0206175260931974,30
1300,0,0,0,0,0,0,0,0,0,0,0,31
1300,2542.78506545242,0,0,0.6080737291873,0.110299284799113,0.0870750591446789,0.410699385243508,0.110299284799113,0.0870750591446789,0.194551926868908,50.8557013090485,32
1300,284.743641428856,0,0,0.531155589838251,0.112374528482043,0.0977802028556088,0.321000858500599,0.112374528482043,0.0977802028556088,0.258689678824097,5.69487282857712,33
1300,81.5425084947694,0,0,0.626379846107163,0.101292250114387,0.0893117745210751,0.435775821471701,0.101292250114387,0.0893117745210751,0.183016129257375,1.63085016989539,34
1300,0,0,0,0,0,0,0,0,0,0,0,35
1300,52881.6067447753,0,0,0.608214702535812,0.12081400227058,0.096059136243528,0.391341564021704,0.12081400227058,0.096059136243528,0.17491215895008,1057.63213489551,36
